"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048286","GO:0048286","lung alveolus development","7/491","49/18870",0.000258053488652501,0.0172176671936997,0.0154653971715296,"2263/4321/3169/7043/84525/26154/55151",7
"GO:0000041","GO:0000041","transition metal ion transport","10/491","100/18870",0.000277054200930135,0.0176189155904007,0.0158258098656309,"540/9914/3263/6505/79901/51312/57348/30061/79689/4241",10
"GO:0060349","GO:0060349","bone morphogenesis","10/491","100/18870",0.000277054200930135,0.0176189155904007,0.0158258098656309,"2296/875/2263/7043/4488/1305/1280/1749/85301/2737",10
"GO:0072080","GO:0072080","nephron tubule development","10/491","100/18870",0.000277054200930135,0.0176189155904007,0.0158258098656309,"7021/25937/4609/8842/2625/26585/255743/30812/2737/79192",10
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","19/491","297/18870",0.000307567606697236,0.0192584639885808,0.017298498754,"7021/6422/22943/6664/8483/7043/4488/200734/25928/26585/55612/81031/80139/5465/56963/255743/54756/116844/80312",19
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","16/491","229/18870",0.000344421532216145,0.0212393278199956,0.0190777668482723,"3693/6664/8483/7043/200734/55612/81031/9518/80139/5465/255743/3696/54756/116844/80312/2651",16
"GO:0046942","GO:0046942","carboxylic acid transport","21/491","351/18870",0.000373477290846711,0.0224703271541131,0.0201834853759821,"6566/5320/5999/6578/6558/6567/2173/8564/1381/8714/5321/6505/23428/4915/5465/85320/6542/320/9120/151473/116362",21
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","7/491","52/18870",0.000375826033692717,0.0224703271541131,0.0201834853759821,"6422/2263/53335/367/26585/59277/30812",7
"GO:0061326","GO:0061326","renal tubule development","10/491","104/18870",0.000380946578288404,0.0224703271541131,0.0201834853759821,"7021/25937/4609/8842/2625/26585/255743/30812/2737/79192",10
"GO:0015849","GO:0015849","organic acid transport","21/491","352/18870",0.000387797301292657,0.0225476430894445,0.0202529327426977,"6566/5320/5999/6578/6558/6567/2173/8564/1381/8714/5321/6505/23428/4915/5465/85320/6542/320/9120/151473/116362",21
"GO:0048638","GO:0048638","regulation of developmental growth","20/491","328/18870",0.000401549577699744,0.0230184053695487,0.0206757847791136,"2296/27086/2263/10512/5999/4886/51760/1848/10551/53335/367/84525/11221/9518/5465/56963/4133/57556/2066/2303",20
"GO:0001933","GO:0001933","negative regulation of protein phosphorylation","19/491","304/18870",0.00041093286012661,0.0232291213988237,0.0208650558950251,"57761/7345/6422/25937/5347/9052/1756/22943/5167/284/5753/1029/1848/200734/23171/11221/55450/81848/154043",19
"GO:0030324","GO:0030324","lung development","14/491","188/18870",0.000421215475047198,0.0234842052526315,0.0210941794497321,"2263/4321/3158/3169/6664/10551/1116/7043/84525/25803/26154/3371/55151/2737",14
"GO:0001649","GO:0001649","osteoblast differentiation","17/491","257/18870",0.000429548213351587,0.0236251517343373,0.0212207815785215,"6422/25937/2263/6664/374/3400/4488/2194/90993/1749/3371/26585/58476/255743/30812/2737/6657",17
"GO:0060541","GO:0060541","respiratory system development","15/491","214/18870",0.000505240299120707,0.0274177068989504,0.0246273622294206,"2263/4321/3158/3169/6664/10551/1116/7043/84525/25803/1749/26154/3371/55151/2737",15
"GO:0007160","GO:0007160","cell-matrix adhesion","16/491","239/18870",0.000551236159219319,0.0295201469476662,0.0265158335314224,"3693/347/6422/4680/4321/10232/2244/8515/1029/11170/2824/1305/26585/55612/255743/3696",16
"GO:0048469","GO:0048469","cell maturation","14/491","195/18870",0.000607107540502116,0.032015270935921,0.0287570246891126,"3169/5979/2625/6663/27289/53335/26047/29842/26256/152015/59277/54763/30812/9928",14
"GO:0015711","GO:0015711","organic anion transport","24/491","443/18870",0.000619649445157374,0.032015270935921,0.0287570246891126,"80736/6566/5320/5999/6578/6558/6567/2173/8564/1381/9498/8714/5321/6505/23428/81031/4915/5465/85320/6542/320/9120/151473/116362",24
"GO:0051154","GO:0051154","negative regulation of striated muscle cell differentiation","6/491","41/18870",0.000624637354243524,0.032015270935921,0.0287570246891126,"27086/1048/5999/22943/5465/55553",6
"GO:0016049","GO:0016049","cell growth","26/491","497/18870",0.000629292794809259,0.032015270935921,0.0287570246891126,"80736/27086/214/6422/6695/10512/4211/5999/5167/51760/1029/11170/1410/6285/2203/53335/2064/3371/26585/23767/5465/56963/4133/57556/92304/9928",26
"GO:2000696","GO:2000696","regulation of epithelial cell differentiation involved in kidney development","4/491","16/18870",0.000642526836697794,0.0322377632076324,0.028956873560095,"25937/5613/8842/2625",4
"GO:0001701","GO:0001701","in utero embryonic development","22/491","392/18870",0.000649507759957214,0.0322377632076324,0.028956873560095,"2296/2263/9654/284/1825/2625/7043/6663/367/84525/84296/4071/79583/79805/84072/201895/30812/2737/320/80312/196051/9782",22
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","7/491","57/18870",0.000664266967381157,0.0325730910511001,0.02925807454299,"25937/5613/8842/2625/26585/2737/2303",7
"GO:0045664","GO:0045664","regulation of neuron differentiation","14/491","198/18870",0.000705861733023954,0.03390638619997,0.0304556780738383,"6422/4211/22943/3169/6664/5121/5979/3400/6285/53335/339479/30812/2737/6657",14
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","25/491","474/18870",0.000708118630711905,0.03390638619997,0.0304556780738383,"4281/2263/5320/2264/22943/2244/6364/284/8685/5979/1116/7043/2064/367/23043/1464/55816/9518/4915/255743/284340/6657/2651/2066/9618",25
"GO:0003018","GO:0003018","vascular process in circulatory system","17/491","269/18870",0.000719687205316892,0.0340596154144157,0.0305933129016593,"2296/875/6566/6558/6567/2244/284/9498/489/8714/6505/23428/81031/3778/6542/2303/145741",17
"GO:0046777","GO:0046777","protein autophosphorylation","14/491","199/18870",0.000741662248938451,0.0346961534848218,0.0311650694563005,"51755/2263/5613/2264/5167/5753/2064/23043/26585/4915/84451/2047/65267/2066",14
"GO:0035265","GO:0035265","organ growth","13/491","177/18870",0.000761575979611838,0.0350660209906164,0.0314972949438538,"2296/27086/2263/4211/5999/1848/4488/367/55151/5465/85301/2066/2303",13
"GO:0048565","GO:0048565","digestive tract development","11/491","134/18870",0.000766799967608074,0.0350660209906164,0.0314972949438538,"6422/2263/3158/6664/5979/5753/10551/7043/6663/25803/2737",11
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","12/491","156/18870",0.000801825283180478,0.0359006213855109,0.0322469566977575,"4609/2263/3169/374/4488/367/3371/26585/255743/30812/2737/2303",12
"GO:0060443","GO:0060443","mammary gland morphogenesis","6/491","43/18870",0.000810598628266957,0.0359006213855109,0.0322469566977575,"2263/374/4488/367/25928/2737",6
"GO:0006826","GO:0006826","iron ion transport","7/491","59/18870",0.000819759348614626,0.0359006213855109,0.0322469566977575,"3263/79901/51312/57348/30061/79689/4241",7
"GO:0060603","GO:0060603","mammary gland duct morphogenesis","5/491","29/18870",0.000827829791770144,0.0359006213855109,0.0322469566977575,"2263/374/4488/367/25928",5
"GO:0048640","GO:0048640","negative regulation of developmental growth","10/491","115/18870",0.000844597317590746,0.0359006213855109,0.0322469566977575,"27086/10512/5999/53335/11221/9518/5465/56963/4133/57556",10
"GO:0015718","GO:0015718","monocarboxylic acid transport","13/491","179/18870",0.000845455403153407,0.0359006213855109,0.0322469566977575,"6566/5320/6578/6567/2173/1381/8714/5321/5465/85320/9120/151473/116362",13
"GO:0050673","GO:0050673","epithelial cell proliferation","25/491","480/18870",0.000846795983540307,0.0359006213855109,0.0322469566977575,"6422/4609/2263/5613/864/4321/5268/6664/2173/374/1602/2625/6489/2064/367/1749/11221/55612/79152/79805/80139/10000/6657/116844/195814",25
"GO:0048880","GO:0048880","sensory system development","22/491","401/18870",0.000875079977323194,0.0367172732753134,0.0329804965951541,"7021/2296/80736/4211/8842/6664/5979/1410/2625/200734/6505/8076/8322/79583/4915/4774/30812/2737/6657/7275/2047/2303",22
"GO:0060419","GO:0060419","heart growth","9/491","97/18870",0.000956983271192552,0.0395553805980161,0.0355297651149386,"2296/27086/2263/4211/5999/1848/5465/2066/2303",9
"GO:0048736","GO:0048736","appendage development","13/491","182/18870",0.000985729934102369,0.0395553805980161,0.0355297651149386,"7021/2263/10512/22943/4488/1280/1749/26585/3226/79583/2019/4774/2737",13
"GO:0060173","GO:0060173","limb development","13/491","182/18870",0.000985729934102369,0.0395553805980161,0.0355297651149386,"7021/2263/10512/22943/4488/1280/1749/26585/3226/79583/2019/4774/2737",13
"GO:0042326","GO:0042326","negative regulation of phosphorylation","19/491","327/18870",0.000990516693609817,0.0395553805980161,0.0355297651149386,"57761/7345/6422/25937/5347/9052/1756/22943/5167/284/5753/1029/1848/200734/23171/11221/55450/81848/154043",19
"GO:0090596","GO:0090596","sensory organ morphogenesis","17/491","277/18870",0.000995114467552745,0.0395553805980161,0.0355297651149386,"7021/80736/2263/4211/8842/6664/7545/2625/1280/6505/1749/8076/4915/30812/2737/2047/9132",17
"GO:0017015","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","12/491","160/18870",0.00100103297336503,0.0395553805980161,0.0355297651149386,"6664/8483/7043/200734/55612/81031/80139/5465/255743/54756/116844/80312",12
"GO:0038128","GO:0038128","ERBB2 signaling pathway","4/491","18/18870",0.00103660413292918,0.0401807506763978,0.0360914902622862,"374/5753/2064/2066",4
"GO:0072189","GO:0072189","ureter development","4/491","18/18870",0.00103660413292918,0.0401807506763978,0.0360914902622862,"5979/2625/4774/30812",4
"GO:0021700","GO:0021700","developmental maturation","19/491","330/18870",0.00110257153993561,0.0423345864862071,0.0380261266950982,"3169/5979/2625/6663/27289/4488/53335/51083/26047/26585/55612/29842/26256/152015/59277/54763/4774/30812/9928",19
"GO:0048608","GO:0048608","reproductive structure development","18/491","305/18870",0.00111855261073728,0.0423756215121711,0.0380629855196613,"2296/247/6422/2263/2175/3169/5268/1396/638/5806/3400/2625/367/3371/8322/4254/30812/3955",18
"GO:0033688","GO:0033688","regulation of osteoblast proliferation","5/491","31/18870",0.00113487536727928,0.0423756215121711,0.0380629855196613,"6422/2263/26585/4883/30812",5
"GO:0034755","GO:0034755","iron ion transmembrane transport","5/491","31/18870",0.00113487536727928,0.0423756215121711,0.0380629855196613,"51312/57348/30061/79689/4241",5
"GO:0048483","GO:0048483","autonomic nervous system development","6/491","46/18870",0.00116628380910199,0.0431230931886312,0.0387343857866588,"7021/6664/5979/2625/6663/30812",6
"GO:1903844","GO:1903844","regulation of cellular response to transforming growth factor beta stimulus","12/491","163/18870",0.00117608435968994,0.0431230931886312,0.0387343857866588,"6664/8483/7043/200734/55612/81031/80139/5465/255743/54756/116844/80312",12
"GO:0072028","GO:0072028","nephron morphogenesis","8/491","81/18870",0.00121027936911859,0.0439806877885058,0.0395047015878652,"4609/2625/26585/255743/30812/2737/79192/2066",8
"GO:0061458","GO:0061458","reproductive system development","18/491","309/18870",0.00129498525146033,0.0461954218419558,0.0414940385509149,"2296/247/6422/2263/2175/3169/5268/1396/638/5806/3400/2625/367/3371/8322/4254/30812/3955",18
"GO:0035850","GO:0035850","epithelial cell differentiation involved in kidney development","6/491","47/18870",0.00130804509811685,0.0461954218419558,0.0414940385509149,"25937/5613/8842/2625/26585/2303",6
"GO:0001958","GO:0001958","endochondral ossification","5/491","32/18870",0.00131662627362822,0.0461954218419558,0.0414940385509149,"2296/875/1305/1280/1749",5
"GO:0036075","GO:0036075","replacement ossification","5/491","32/18870",0.00131662627362822,0.0461954218419558,0.0414940385509149,"2296/875/1305/1280/1749",5
"GO:0045165","GO:0045165","cell fate commitment","17/491","286/18870",0.00140760050164249,0.0489652482195293,0.0439819751885233,"6422/2263/22943/3169/2625/367/25803/25928/3226/4774/25925/30812/2737/55553/6657/2066/2303",17
"GO:0001558","GO:0001558","regulation of cell growth","22/491","417/18870",0.00144523420983244,0.0498483324916782,0.0447751865365572,"80736/27086/6422/6695/10512/5999/5167/51760/1029/11170/1410/2203/53335/2064/3371/26585/5465/56963/4133/57556/92304/9928",22
